,rownames.result_mat..ind...1..,colnames.result_mat..ind...2..,result_mat.lower.tri.result_mat..
80,col77_day151_02September2021_E.png,col61_day10_14apr2021_E.png,0
81,col77_day151_02September2021_W.png,col61_day10_14apr2021_E.png,0
82,col77_day159_10September2021_E.png,col61_day10_14apr2021_E.png,3.58E-300
83,col77_day159_10September2021_W.png,col61_day10_14apr2021_E.png,0
84,col77_day170_21September2021_E.png,col61_day10_14apr2021_E.png,7.94E-239
85,col77_day170_21September2021_W.png,col61_day10_14apr2021_E.png,1.50E-261
86,col77_day180_1October2021_E.png,col61_day10_14apr2021_E.png,2.55E-289
87,col77_day180_1October2021_W.png,col61_day10_14apr2021_E.png,8.56E-291
88,col77_day190_11October2021_E.png,col61_day10_14apr2021_E.png,2.98E-274
89,col77_day190_11October2021_W.png,col61_day10_14apr2021_E.png,1.17E-294
90,col77_day200_21October2021_E.png,col61_day10_14apr2021_E.png,0
91,col77_day200_21October2021_W.png,col61_day10_14apr2021_E.png,0
92,col77_day208_29October2021_E.png,col61_day10_14apr2021_E.png,0
93,col77_day208_29October2021_W.png,col61_day10_14apr2021_E.png,0
94,col77_day221_11November2021_E.png,col61_day10_14apr2021_E.png,0
95,col77_day221_11November2021_W.png,col61_day10_14apr2021_E.png,0
96,col77_day229_19November2021_E.png,col61_day10_14apr2021_E.png,0
97,col77_day229_19November2021_W.png,col61_day10_14apr2021_E.png,0
98,col77_day241_01December2021_E.png,col61_day10_14apr2021_E.png,0
99,col77_day241_01December2021_W.png,col61_day10_14apr2021_E.png,0
100,East_day105_16Apr2013_N.png,col61_day10_14apr2021_E.png,0
101,East_day105_16Apr2013_S.png,col61_day10_14apr2021_E.png,0
102,East_day134_14May2013_N.png,col61_day10_14apr2021_E.png,0
103,East_day134_14May2013_S.png,col61_day10_14apr2021_E.png,0
104,East_day169_18Jun2013_N.png,col61_day10_14apr2021_E.png,6.41E-248
105,East_day169_18Jun2013_S.png,col61_day10_14apr2021_E.png,9.25E-238
106,East_day197_16July2013_N.png,col61_day10_14apr2021_E.png,0
107,East_day197_16July2013_S.png,col61_day10_14apr2021_E.png,0
108,East_day224_13Aug2013_N.png,col61_day10_14apr2021_E.png,1.11E-67
109,East_day224_13Aug2013_S.png,col61_day10_14apr2021_E.png,3.85E-65
110,East_day261_18Sep2013_N.png,col61_day10_14apr2021_E.png,3.68E-177
111,East_day261_18Sep2013_S.png,col61_day10_14apr2021_E.png,4.96E-92
112,North_day105_16Apr2013_E.png,col61_day10_14apr2021_E.png,2.61360726650019e-321
113,North_day105_16Apr2013_W.png,col61_day10_14apr2021_E.png,0
114,North_day134_14May2013_E.png,col61_day10_14apr2021_E.png,0
115,North_day134_14May2013_W.png,col61_day10_14apr2021_E.png,6.07E-307
116,North_day169_18Jun2013_E.png,col61_day10_14apr2021_E.png,8.93597137109873e-315
117,North_day169_18Jun2013_W.png,col61_day10_14apr2021_E.png,2.00E-285
118,North_day197_16July2013_E.png,col61_day10_14apr2021_E.png,8.49578980422295e-318
119,North_day197_16July2013_W.png,col61_day10_14apr2021_E.png,3.65979621222549e-318
120,North_day224_13Aug2013_E.png,col61_day10_14apr2021_E.png,1.59E-278
121,North_day224_13Aug2013_W.png,col61_day10_14apr2021_E.png,3.18E-280
122,North_day261_18Sep2013_E.png,col61_day10_14apr2021_E.png,0
123,North_day261_18Sep2013_W.png,col61_day10_14apr2021_E.png,1.13141032897645e-321
124,Office_day105_16Apr2013_E.png,col61_day10_14apr2021_E.png,0
125,Office_day105_16Apr2013_W.png,col61_day10_14apr2021_E.png,0
126,Office_day134_14May2013_E.png,col61_day10_14apr2021_E.png,0
127,Office_day134_14May2013_W.png,col61_day10_14apr2021_E.png,0
